"id","title","amount","department","transaction","views","city","province","date","week_day"
80490,"I Paid Rs. 500000 to Municipal Services in Aurangabad.",5e+05,"Municipal Services","Birth Certificate",151,"Aurangabad","Telangana","2015-10-25","Sunday"
80481,"I Paid Rs. 100 to Municipal Services in Ulhasnagar.",100,"Municipal Services","Birth Certificate",135,"Ulhasnagar","Telangana","2015-10-24","Saturday"
80480,"I Paid Rs. 2000 to Income Tax in Chennai.",2000,"Income Tax","New PAN Card",163,"Chennai","Telangana","2015-10-24","Saturday"
80475,"I Paid Rs. 100 to Police in New Delhi.",100,"Police","Traffic Violations",176,"New","Telangana","2015-10-24","Saturday"
80470,"I Paid Rs. 1999 to Municipal Services in Thiruvananthapuram.",1999,"Municipal Services","Birth Certificate",130,"Thiruvananthapuram","Telangana","2015-10-24","Saturday"
80469,"I Paid Rs. 300000 to Municipal Services in Kolkata.",3e+05,"Municipal Services","Birth Certificate",128,"Kolkata","Telangana","2015-10-24","Saturday"
80462,"I Paid Rs. 100 to Municipal Services in Chennai.",100,"Municipal Services","Birth Certificate",125,"Chennai","Telangana","2015-10-24","Saturday"
80455,"I Paid Rs. 800000 to Stamps and Registration in Mumbai.",8e+05,"Stamps and Registration","Registration of Property",179,"Mumbai","Telangana","2015-10-24","Saturday"
80454,"I Paid Rs. 100 to Municipal Services in Abhayapuri.",100,"Municipal Services","Birth Certificate",124,"Abhayapuri","Assam","2015-10-24","Saturday"
80433,"I Paid Rs. 248 to Transport in New Delhi.",248,"Transport","Duplicate Registration Certificate",171,"New","Assam","2015-10-24","Saturday"
80429,"I Paid Rs. 123456 to Others in Dadri.",123456,"Others","Others",132,"Dadri","Assam","2015-10-24","Saturday"
80424,"I Paid Rs. 10 to Municipal Services in Bhopal.",10,"Municipal Services","Birth Certificate",111,"Bhopal","Assam","2015-10-24","Saturday"
80423,"I Paid Rs. 500 to Police in Lucknow.",500,"Police","Filing FIR",127,"Lucknow","Assam","2015-10-24","Saturday"
80412,"I Paid Rs. 12000 to Municipal Services in Mumbai.",12000,"Municipal Services","Birth Certificate",107,"Mumbai","Assam","2015-10-24","Saturday"
80405,"For taking  an action on filed complaint.",8000,"Police","Lodging Police Complaint",130,"Ghaziabad","Assam","2015-10-24","Saturday"
80403,"I Paid Rs. 100 to Municipal Services in Adilabad.",100,"Municipal Services","Birth Certificate",93,"Adilabad","Assam","2015-10-24","Saturday"
80399,"I Paid Rs. 150 to Municipal Services in Abhayapuri.",150,"Municipal Services","Birth Certificate",99,"Abhayapuri","Assam","2015-10-24","Saturday"
80397,"I Paid Rs. 100 to Customs, Excise and Service Tax in Gwalior.",100,"Customs, Excise and Service Tax","Customs Check and Clearance",90,"Gwalior","Assam","2015-10-24","Saturday"
80377,"I Paid Rs. 100 to Income Tax in Mumbai.",100,"Income Tax","New PAN Card",131,"Mumbai","Maharashtra","2015-10-24","Saturday"
80371,"I Paid Rs. 1 to Municipal Services in Indore.",1,"Municipal Services","Birth Certificate",115,"Indore","Maharashtra","2015-10-23","Friday"
80370,"I Paid Rs. 1200 to Municipal Services in Abhayapuri.",1200,"Municipal Services","Birth Certificate",108,"Abhayapuri","Maharashtra","2015-10-23","Friday"
80366,"I Paid Rs. 6000 to Others in Abhayapuri.",6000,"Others","Others",127,"Abhayapuri","Maharashtra","2015-10-23","Friday"
80362,"I Paid Rs. 50000 to Stamps and Registration in Abohar.",50000,"Stamps and Registration","Marriage Certificate",173,"Abohar","Maharashtra","2015-10-23","Friday"
80360,"I Paid Rs. 15111 to Municipal Services in Surat.",15111,"Municipal Services","Birth Certificate",114,"Surat","Maharashtra","2015-10-23","Friday"
80359,"I Paid Rs. 100 to Municipal Services in Shivpuri.",100,"Municipal Services","Birth Certificate",95,"Shivpuri","Maharashtra","2015-10-23","Friday"
80358,"I Paid Rs. 50 to Municipal Services in Pune.",50,"Municipal Services","Birth Certificate",90,"Pune","Maharashtra","2015-10-23","Friday"
80352,"I Paid Rs. 120 to Commercial Tax, Sales Tax, VAT in New Delhi.",120,"Commercial Tax, Sales Tax, VAT","C Form",131,"New","Maharashtra","2015-10-23","Friday"
80351,"I Paid Rs. 300 to Others in Belgaum.",300,"Others","Others",111,"Belgaum","Maharashtra","2015-10-23","Friday"
80350,"I Paid Rs. 10 to Customs, Excise and Service Tax in Palasa Kasibugga.",10,"Customs, Excise and Service Tax","Customs Check and Clearance",105,"Palasa","Kasibugga Andhra Pradesh","2015-10-23","Friday"
80349,"I Paid Rs. 1000 to Municipal Services in Agartala.",1000,"Municipal Services","Birth Certificate",77,"Agartala","Kasibugga Andhra Pradesh","2015-10-23","Friday"
80347,"I Paid Rs. 15000 to Municipal Services in Uttara Kannada.",15000,"Municipal Services","Birth Certificate",83,"Uttara","Kasibugga Andhra Pradesh","2015-10-23","Friday"
80338,"I Paid Rs. 10 to Others in Maldah.",10,"Others","Others",99,"Maldah","Kasibugga Andhra Pradesh","2015-10-23","Friday"
80336,"I Paid Rs. 250000 to Income Tax in Madurai.",250000,"Income Tax","New PAN Card",104,"Madurai","Kasibugga Andhra Pradesh","2015-10-23","Friday"
80333,"I Paid Rs. 2500 to Municipal Services in Abhayapuri.",2500,"Municipal Services","Birth Certificate",91,"Abhayapuri","Kasibugga Andhra Pradesh","2015-10-23","Friday"
80317,"I Paid Rs. 1400 to Municipal Services in Vadakara.",1400,"Municipal Services","Birth Certificate",89,"Vadakara","Kasibugga Andhra Pradesh","2015-10-23","Friday"
80221,"Airport customs Red channel",1100,"Airports","Customs",147,"Mumbai","Kasibugga Andhra Pradesh","2015-10-23","Friday"
80219,"I Paid Rs. 1000 to Railways in Chennai.",1000,"Railways","Transport of Goods",171,"Chennai","Kasibugga Andhra Pradesh","2015-10-22","Thursday"
80218,"I Paid Rs. 200 to Police in Gurgaon.",200,"Police","Filing FIR",143,"Gurgaon","Kasibugga Andhra Pradesh","2015-10-22","Thursday"
80216,"I Paid Rs. 100 to Others in Kota.",100,"Others","Others",136,"Kota","Rajasthan","2015-10-22","Thursday"
80199,"I Paid Rs. 500 to Police in Kolkata.",500,"Police","Filing FIR",159,"Kolkata","Rajasthan","2015-10-22","Thursday"
80193,"I Paid Rs. 76 to Others in New Delhi.",76,"Others","Others",197,"New","Rajasthan","2015-10-22","Thursday"
80190,"I Paid Rs. 42 to Others in Ponnur.",42,"Others","Others",164,"Ponnur","Rajasthan","2015-10-22","Thursday"
80162,"I Paid Rs. 10 to Municipal Services in Jaunpur.",10,"Municipal Services","Birth Certificate",122,"Jaunpur","Rajasthan","2015-10-22","Thursday"
80158,"I Paid Rs. 21 to Municipal Services in Abhayapuri.",21,"Municipal Services","Birth Certificate",126,"Abhayapuri","Rajasthan","2015-10-22","Thursday"
80151,"I Paid Rs. 122 to Municipal Services in Bhagalpur.",122,"Municipal Services","Birth Certificate",109,"Bhagalpur","Rajasthan","2015-10-22","Thursday"
80142,"I Paid Rs. 500 to Transport in Abohar.",500,"Transport","Duplicate Registration Certificate",176,"Abohar","Rajasthan","2015-10-22","Thursday"
80140,"I paid Rs.3000(approx.) to get Birth Certificate for myself",3000,"Municipal Services","Birth Certificate",106,"Narasaraopet","Rajasthan","2015-10-22","Thursday"
80119,"I Paid Rs. 1000 to Municipal Services in Chennai.",1000,"Municipal Services","Birth Certificate",131,"Chennai","Rajasthan","2015-10-22","Thursday"
80118,"I Paid Rs. 99 to Income Tax in Adari.",99,"Income Tax","New PAN Card",141,"Adari","Uttar Pradesh","2015-10-22","Thursday"
80117,"I Paid Rs. 22 to Commercial Tax, Sales Tax, VAT in Abhayapuri.",22,"Commercial Tax, Sales Tax, VAT","C Form",160,"Abhayapuri","Uttar Pradesh","2015-10-21","Wednesday"
80116,"I Paid Rs. 3000 to Transport in Bidar.",3000,"Transport","New Domestic Driving License",190,"Bidar","Uttar Pradesh","2015-10-21","Wednesday"
80112,"I Paid Rs. 22 to Income Tax in Amarpur.",22,"Income Tax","New PAN Card",131,"Amarpur","Uttar Pradesh","2015-10-21","Wednesday"
80098,"I Paid Rs. 300 to Municipal Services in Chandigarh.",300,"Municipal Services","Birth Certificate",125,"Chandigarh","Uttar Pradesh","2015-10-21","Wednesday"
80096,"I Paid Rs. 8 to Stamps and Registration in Abhayapuri.",8,"Stamps and Registration","Registration of Flat or Apartment",182,"Abhayapuri","Uttar Pradesh","2015-10-21","Wednesday"
80092,"I Paid Rs. 5 to Others in Kurnool.",5,"Others","Others",144,"Kurnool","Uttar Pradesh","2015-10-21","Wednesday"
80080,"I Paid Rs. 100 to Others in Jaipur.",100,"Others","Others",126,"Jaipur","Uttar Pradesh","2015-10-21","Wednesday"
80072,"I Paid Rs. 876776 to Police in Agra.",876776,"Police","Police Harassment",168,"Agra","Uttar Pradesh","2015-10-21","Wednesday"
80064,"I Paid Rs. 5000 to Others in Aligarh.",5000,"Others","Others",104,"Aligarh","Uttar Pradesh","2015-10-21","Wednesday"
80058,"I Paid Rs. 123 to Transport in Adityapur.",123,"Transport","New Domestic Driving License",131,"Adityapur","Jharkhand","2015-10-21","Wednesday"
80047,"I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Abohar.",100,"Commercial Tax, Sales Tax, VAT","C Form",149,"Abohar","Jharkhand","2015-10-21","Wednesday"
80045,"100 rs for an FIR copy",100,"Police","Filing FIR",152,"Imphal","Jharkhand","2015-10-21","Wednesday"
80040,"I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Achhnera.",1000,"Commercial Tax, Sales Tax, VAT","C Form",120,"Achhnera","Jharkhand","2015-10-21","Wednesday"
80029,"I Paid Rs. 200 to Municipal Services in Pratapgarh.",200,"Municipal Services","Birth Certificate",96,"Pratapgarh","Jharkhand","2015-10-21","Wednesday"
80025,"I Paid Rs. 1000 to Police in Ahmedabad.",1000,"Police","Traffic Violations",111,"Ahmedabad","Jharkhand","2015-10-21","Wednesday"
80000,"I Paid Rs. 700 to Municipal Services in Chennai.",700,"Municipal Services","Birth Certificate",93,"Chennai","Jharkhand","2015-10-21","Wednesday"
79989,"I Paid Rs. 30000 to Municipal Services in Dhanbad.",30000,"Municipal Services","Birth Certificate",126,"Dhanbad","Jharkhand","2015-10-21","Wednesday"
79988,"I Paid Rs. 100 to Municipal Services in Durgapur.",100,"Municipal Services","Birth Certificate",106,"Durgapur","Jharkhand","2015-10-21","Wednesday"
79985,"I Paid Rs. 100 to Customs, Excise and Service Tax in Basti.",100,"Customs, Excise and Service Tax","Customs Check and Clearance",124,"Basti","Jharkhand","2015-10-21","Wednesday"
79979,"I Paid Rs. 9000 to Others in Hyderabad.",9000,"Others","Others",127,"Hyderabad","Telangana","2015-10-20","Tuesday"
79966,"I Paid Rs. 5000 to Municipal Services in Mumbai.",5000,"Municipal Services","Birth Certificate",118,"Mumbai","Telangana","2015-10-20","Tuesday"
79965,"I Paid Rs. 44 to  in .",44,"","",151,"","Telangana","2015-10-20","Tuesday"
79961,"I Paid Rs. 100 to Railways in Bina.",100,"Railways","Transport of Goods",137,"Bina","Telangana","2015-10-20","Tuesday"
79941,"For the Birth Certificate of My Daughter",300,"Municipal Services","Birth Certificate",174,"Bangalore","Telangana","2015-10-20","Tuesday"
79940,"For Wrong Parking of Two Wheeler",300,"Police","Traffic Violations",179,"Bangalore","Telangana","2015-10-20","Tuesday"
79926,"Have to pay the bribe even after having right documents",500,"Transport","Duplicate Driving License",160,"Jaipur","Telangana","2015-10-20","Tuesday"
79922,"I Paid Rs. 200 to Municipal Services in Udaipur.",200,"Municipal Services","Birth Certificate",123,"Udaipur","Telangana","2015-10-20","Tuesday"
79920,"I Paid Rs. 200 to Municipal Services in Mumbai.",200,"Municipal Services","Birth Certificate",136,"Mumbai","Telangana","2015-10-20","Tuesday"
79856,"Paid Bribe for filing ER 1 Return and for other certificate",34000,"Customs, Excise and Service Tax","Excise Return",207,"Bangalore","Telangana","2015-10-20","Tuesday"
79841,"I Paid Rs. 500 to Transport in Abohar.",500,"Transport","New Domestic Driving License",174,"Abohar","Punjab","2015-10-20","Tuesday"
79831,"I Paid Rs. 500 to Municipal Services in Bharatpur.",500,"Municipal Services","Birth Certificate",118,"Bharatpur","Punjab","2015-10-20","Tuesday"
79796,"I Paid Rs. 3500 to Passport in Bangalore.",3500,"Passport","Police Verification for Passport",326,"Bangalore","Punjab","2015-10-19","Monday"
79785,"I Paid Rs. 12000 to Municipal Services in Ludhiana.",12000,"Municipal Services","Birth Certificate",191,"Ludhiana","Punjab","2015-10-19","Monday"
79771,"I Paid Rs. 4000 to Transport in Adari.",4000,"Transport","Registration of Vehicle",176,"Adari","Punjab","2015-10-19","Monday"
79768,"I Paid Rs. 15000 to Others in New Delhi.",15000,"Others","Others",215,"New","Punjab","2015-10-19","Monday"
79758,"I Paid Rs. 100 to Municipal Services in New Delhi.",100,"Municipal Services","Birth Certificate",193,"New","Punjab","2015-10-19","Monday"
79755,"I Paid Rs. 54 to Income Tax in Faizabad.",54,"Income Tax","New PAN Card",181,"Faizabad","Punjab","2015-10-19","Monday"
79751,"I Paid Rs. 3500 to Municipal Services in Lucknow.",3500,"Municipal Services","Birth Certificate",174,"Lucknow","Punjab","2015-10-19","Monday"
79743,"I Paid Rs. 100 to Municipal Services in Dharmapuri.",100,"Municipal Services","Birth Certificate",163,"Dharmapuri","Punjab","2015-10-19","Monday"
79725,"I Paid Rs. 2525 to Commercial Tax, Sales Tax, VAT in Abhayapuri.",2525,"Commercial Tax, Sales Tax, VAT","C Form",168,"Abhayapuri","Assam","2015-10-19","Monday"
79705,"I Paid Rs. 200 to Municipal Services in Abohar.",200,"Municipal Services","Birth Certificate",144,"Abohar","Assam","2015-10-19","Monday"
79665,"I Paid Rs. 2500 to Municipal Services in Pune.",2500,"Municipal Services","Birth Certificate",210,"Pune","Assam","2015-10-18","Sunday"
79653,"I Paid Rs. 10 to Others in Chennai.",10,"Others","Others",215,"Chennai","Assam","2015-10-18","Sunday"
79645,"I Paid Rs. 100 to Food, Civil Supplies and Consumer Affairs in Abhayapuri.",100,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",220,"Abhayapuri","Assam","2015-10-18","Sunday"
79639,"I Paid Rs. 100 to Others in Chennai.",100,"Others","Others",200,"Chennai","Assam","2015-10-18","Sunday"
79627,"I Paid Rs. 700 to Municipal Services in Abhayapuri.",700,"Municipal Services","Birth Certificate",227,"Abhayapuri","Assam","2015-10-18","Sunday"
79620,"I Paid Rs. 1000 to Others in Bangalore.",1000,"Others","Others",255,"Bangalore","Assam","2015-10-18","Sunday"
79612,"I Paid Rs. 6000 to Municipal Services in Pune.",6000,"Municipal Services","Birth Certificate",214,"Pune","Assam","2015-10-18","Sunday"
79600,"I Paid Rs. 19 to Municipal Services in Ludhiana.",19,"Municipal Services","Birth Certificate",178,"Ludhiana","Assam","2015-10-18","Sunday"
79593,"I paid bribe for Katha Transfer BBMP",15000,"Revenue","Residence Certificate",248,"Bangalore","Karnataka","2015-10-18","Sunday"
79585,"Name of the officer = sandipan guha date of incident = 7th sep 2015…",10000,"Police","Filing FIR",432,"Barrackpur","Karnataka","2015-10-17","Saturday"
79571,"I Paid Rs. 100 to Municipal Services in Adari.",100,"Municipal Services","Birth Certificate",181,"Adari","Karnataka","2015-10-17","Saturday"
79564,"Paid Bribe for Getting Stipend in M.Tech  during my studies- Andhra University",5000,"Education","Obtaining Scholarship",213,"Visakhapatnam","Karnataka","2015-10-17","Saturday"
79559,"I Paid Rs. 441 to Commercial Tax, Sales Tax, VAT in Adari.",441,"Commercial Tax, Sales Tax, VAT","C Form",220,"Adari","Karnataka","2015-10-17","Saturday"
79536,"I Paid Rs. 10000 to Others in Mumbai.",10000,"Others","Others",216,"Mumbai","Karnataka","2015-10-17","Saturday"
79524,"I Paid Rs. 25000 to Police in Adari.",25000,"Police","Filing FIR",269,"Adari","Karnataka","2015-10-17","Saturday"
79523,"I Paid Rs. 4300 to Municipal Services in Bhuj.",4300,"Municipal Services","Birth Certificate",207,"Bhuj","Karnataka","2015-10-17","Saturday"
79515,"I Paid Rs. 15 to Income Tax in New Delhi.",15,"Income Tax","New PAN Card",213,"New","Karnataka","2015-10-17","Saturday"
79494,"I Paid Rs. 200 to Income Tax in Mumbai.",200,"Income Tax","New PAN Card",182,"Mumbai","Karnataka","2015-10-17","Saturday"
79463,"I Paid Rs. 1000 to Municipal Services in Abhayapuri.",1000,"Municipal Services","Birth Certificate",168,"Abhayapuri","Assam","2015-10-17","Saturday"
79452,"Property Tax Collector takes bribe but issues remain pending.",7000,"Municipal Services","Property Tax",168,"Chennai","Assam","2015-10-16","Friday"
79449,"I Paid Rs. 2000000 to Income Tax in Mumbai.",2e+06,"Income Tax","New PAN Card",168,"Mumbai","Assam","2015-10-16","Friday"
79440,"I Paid Rs. 200 to Police in Kakinada.",200,"Police","Police Clearance Certificate",215,"Kakinada","Assam","2015-10-16","Friday"
