"id","title","amount","department","transaction","views","city","province","date"
81850,"I Paid Rs. 20000 to Food, Civil Supplies and Consumer Affairs in Coimbatore.",20000,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",48,"Coimbatore","Bihar",2015-11-04
81848,"I Paid Rs. 3000 to Municipal Services in Bokaro.",3000,"Municipal Services","Birth Certificate",46,"Bokaro","Bihar",2015-11-04
81841,"I Paid Rs. 220 to Others in Achhnera.",220,"Others","Others",44,"Achhnera","Bihar",2015-11-04
81840,"I Paid Rs. 150 to Municipal Services in Chennai.",150,"Municipal Services","Birth Certificate",39,"Chennai","Bihar",2015-11-04
81839,"I Paid Rs. 38 to Income Tax in Gorakhpur.",38,"Income Tax","New PAN Card",36,"Gorakhpur","Bihar",2015-11-04
81832,"I Paid Rs. 100000 to Income Tax in Adari.",1e+05,"Income Tax","New PAN Card",50,"Adari","Bihar",2015-11-04
81816,"I Paid Rs. 200 to Others in New Delhi.",200,"Others","Others",58,"New","Delhi Delhi",2015-11-04
81806,"I Paid Rs. 100000 to Income Tax in Nagercoil.",1e+05,"Income Tax","New PAN Card",59,"Nagercoil","Delhi Delhi",2015-11-04
81795,"I Paid Rs. 10000 to Police in Hyderabad.",10000,"Police","Police Harassment",55,"Hyderabad","Delhi Delhi",2015-11-04
81790,"I Paid Rs. 10000 to Police in Malkangiri.",10000,"Police","Filing FIR",57,"Malkangiri","Delhi Delhi",2015-11-04
81789,"I Paid Rs. 11000 to Commercial Tax, Sales Tax, VAT in Pune.",11000,"Commercial Tax, Sales Tax, VAT","C Form",41,"Pune","Delhi Delhi",2015-11-04
81788,"I Paid Rs. 55555 to Others in Rajkot.",55555,"Others","Others",40,"Rajkot","Delhi Delhi",2015-11-04
81771,"I Paid Rs. 90 to Transport in Hyderabad.",90,"Transport","New Domestic Driving License",54,"Hyderabad","Delhi Delhi",2015-11-04
81766,"I Paid Rs. 100 to Transport in Hyderabad.",100,"Transport","Registration of Vehicle",56,"Hyderabad","Delhi Delhi",2015-11-04
81744,"I Paid Rs. 10000 to Municipal Services in Pune.",10000,"Municipal Services","Birth Certificate",71,"Pune","Delhi Delhi",2015-11-03
81742,"I Paid Rs. 6000 to Municipal Services in Dharmapuri.",6000,"Municipal Services","Birth Certificate",77,"Dharmapuri","Delhi Delhi",2015-11-03
81737,"I Paid Rs. 100 to Others in Jhunjhunun.",100,"Others","Others",88,"Jhunjhunun","Rajasthan",2015-11-03
81734,"I Paid Rs. 10 to Others in Achhnera.",10,"Others","Others",88,"Achhnera","Rajasthan",2015-11-03
81719,"I Paid Rs. 500 to Municipal Services in Nellore.",500,"Municipal Services","Birth Certificate",107,"Nellore","Rajasthan",2015-11-03
81706,"I Paid Rs. 788 to Municipal Services in Abohar.",788,"Municipal Services","Birth Certificate",107,"Abohar","Rajasthan",2015-11-03
81705,"LAKSHMINARAYAN THE MOST CORRUPT IN KARNATAKA STATE POLLUTION CONTROL BOARD",25000,"Others","Others",128,"Bangalore","Rajasthan",2015-11-03
81700,"Paid Bribe to Get Degree",20000,"Education","School or College Related Activities",119,"New","Rajasthan",2015-11-03
81692,"I Paid Rs. 20 to Municipal Services in Abhayapuri.",20,"Municipal Services","Birth Certificate",102,"Abhayapuri","Rajasthan",2015-11-03
81681,"I Paid Rs. 15000 to Stamps and Registration in Nagpur.",15000,"Stamps and Registration","Marriage Certificate",127,"Nagpur","Rajasthan",2015-11-03
81673,"I Paid Rs. 111 to Municipal Services in Solapur.",111,"Municipal Services","Birth Certificate",93,"Solapur","Rajasthan",2015-11-03
81670,"I Paid Rs. 344 to Municipal Services in Almora.",344,"Municipal Services","Birth Certificate",78,"Almora","Rajasthan",2015-11-03
81669,"Paid Bribe for Borewell drilling in Bangalore",3700,"Water and Sewage","Water Connection under Sajala",82,"Bangalore","Karnataka",2015-11-03
81655,"I Paid Rs. 111 to Municipal Services in Abohar.",111,"Municipal Services","Birth Certificate",68,"Abohar","Karnataka",2015-11-03
81654,"I Paid Rs. 1 to Municipal Services in Mumbai.",1,"Municipal Services","Birth Certificate",69,"Mumbai","Karnataka",2015-11-03
81652,"I Paid Rs. 5000 to Police in Thane.",5000,"Police","Filing FIR",95,"Thane","Karnataka",2015-11-03
81645,"I Paid Rs. 500 to Municipal Services in Lucknow.",500,"Municipal Services","Birth Certificate",72,"Lucknow","Karnataka",2015-11-03
81642,"I Paid Rs. 100 to Municipal Services in Mumbai.",100,"Municipal Services","Birth Certificate",69,"Mumbai","Karnataka",2015-11-03
81629,"I Paid Rs. 1000 to Police in Hazaribagh.",1000,"Police","Traffic Violations",84,"Hazaribagh","Karnataka",2015-11-03
81625,"I Paid Rs. 50000 to Food, Civil Supplies and Consumer Affairs in Abohar.",50000,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",93,"Abohar","Karnataka",2015-11-03
81622,"I Paid Rs. 500000 to Commercial Tax, Sales Tax, VAT in Kolkata.",5e+05,"Commercial Tax, Sales Tax, VAT","C Form",140,"Kolkata","Karnataka",2015-11-03
81615,"Bribe for passport verification",200,"Police","Police Verification for Passport",169,"Bangalore","Karnataka",2015-11-02
81608,"I Paid Rs. 2 to Police in Adari.",2,"Police","Filing FIR",166,"Adari","Uttar Pradesh",2015-11-02
81597,"I Paid Rs. 10000 to Railways in Chandigarh.",10000,"Railways","Transport of Goods",188,"Chandigarh","Uttar Pradesh",2015-11-02
81583,"Asked bribe at the heart of Delhi by traffic police",600,"Police","Traffic Violations",316,"New","Uttar Pradesh",2015-11-02
81582,"I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Durgapur.",100,"Commercial Tax, Sales Tax, VAT","C Form",171,"Durgapur","Uttar Pradesh",2015-11-02
81575,"I Paid Rs. 20 to Others in Pune.",20,"Others","Others",177,"Pune","Uttar Pradesh",2015-11-02
81574,"I Paid Rs. 1200 to Others in Mumbai.",1200,"Others","Others",165,"Mumbai","Uttar Pradesh",2015-11-02
81564,"I Paid Rs. 100 to Municipal Services in Itanagar.",100,"Municipal Services","Birth Certificate",151,"Itanagar","Uttar Pradesh",2015-11-02
81554,"I Paid Rs. 464001 to Municipal Services in Vidisha.",464001,"Municipal Services","Birth Certificate",160,"Vidisha","Uttar Pradesh",2015-11-02
81547,"I Paid Rs. 120200 to Transport in Alipurduar.",120200,"Transport","Registration of Vehicle",207,"Alipurduar","Uttar Pradesh",2015-11-02
81543,"I Paid Rs. 1200 to Municipal Services in Kochi.",1200,"Municipal Services","Birth Certificate",208,"Kochi","Uttar Pradesh",2015-11-02
81542,"I Paid Rs. 10000 to Police in Mahesana.",10000,"Police","Traffic Violations",201,"Mahesana","Gujarat",2015-11-02
81520,"I Paid Rs. 200 to Income Tax in Pune.",200,"Income Tax","New PAN Card",204,"Pune","Gujarat",2015-11-02
81499,"I Paid Rs. 20000 to Others in Hyderabad.",20000,"Others","Others",223,"Hyderabad","Gujarat",2015-11-02
81496,"I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Kolkata.",500,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",268,"Kolkata","Gujarat",2015-11-02
81493,"I Paid Rs. 111 to Municipal Services in Chennai.",111,"Municipal Services","Birth Certificate",256,"Chennai","Gujarat",2015-11-01
81492,"I Paid Rs. 200 to Municipal Services in Adilabad.",200,"Municipal Services","Birth Certificate",221,"Adilabad","Gujarat",2015-11-01
81488,"I Paid Rs. 2000 to Income Tax in Abohar.",2000,"Income Tax","New PAN Card",223,"Abohar","Gujarat",2015-11-01
81487,"I Paid Rs. 100 to Customs, Excise and Service Tax in Abohar.",100,"Customs, Excise and Service Tax","Customs Check and Clearance",209,"Abohar","Gujarat",2015-11-01
81486,"I Paid Rs. 345 to Municipal Services in Abhayapuri.",345,"Municipal Services","Birth Certificate",191,"Abhayapuri","Gujarat",2015-11-01
81483,"I Paid Rs. 33 to Municipal Services in Achhnera.",33,"Municipal Services","Birth Certificate",179,"Achhnera","Gujarat",2015-11-01
81479,"I Paid Rs. 524001 to Commercial Tax, Sales Tax, VAT in Abohar.",524001,"Commercial Tax, Sales Tax, VAT","C Form",204,"Abohar","Punjab",2015-11-01
81470,"I Paid Rs. 200 to Police in New Delhi.",200,"Police","Traffic Violations",207,"New","Punjab",2015-11-01
81467,"I Paid Rs. 1000 to Municipal Services in Mansa.",1000,"Municipal Services","Birth Certificate",182,"Mansa","Punjab",2015-11-01
81456,"I Paid Rs. 108 to Income Tax in Rae Bareli.",108,"Income Tax","New PAN Card",181,"Rae","Punjab",2015-11-01
81454,"I Paid Rs. 100 to Municipal Services in Dehradun.",100,"Municipal Services","Birth Certificate",156,"Dehradun","Punjab",2015-11-01
81442,"I Paid Rs. 105 to Income Tax in Bhopal.",105,"Income Tax","New PAN Card",148,"Bhopal","Punjab",2015-11-01
81433,"I Paid Rs. 100 to Others in Bahraich.",100,"Others","Others",146,"Bahraich","Punjab",2015-11-01
81430,"I Paid Rs. 1000 to Passport in Kollam.",1000,"Passport","Police Verification for Passport",184,"Kollam","Punjab",2015-11-01
81429,"I Paid Rs. 8120303241 to Municipal Services in Tikamgarh.",8120303241,"Municipal Services","Birth Certificate",151,"Tikamgarh","Punjab",2015-11-01
81424,"I Paid Rs. 12345 to Commercial Tax, Sales Tax, VAT in Abohar.",12345,"Commercial Tax, Sales Tax, VAT","C Form",146,"Abohar","Punjab",2015-11-01
81421,"I Paid Rs. 50 to Municipal Services in Imphal.",50,"Municipal Services","Birth Certificate",127,"Imphal","Manipur",2015-11-01
81419,"I Paid Rs. 100 to Municipal Services in Adari.",100,"Municipal Services","Birth Certificate",106,"Adari","Manipur",2015-11-01
81417,"I Paid Rs. 10000 to Police in Kolar.",10000,"Police","Filing FIR",142,"Kolar","Manipur",2015-11-01
81407,"I Paid Rs. 4552 to Municipal Services in Achhnera.",4552,"Municipal Services","Birth Certificate",105,"Achhnera","Manipur",2015-11-01
81393,"I Paid Rs. 100 to Customs, Excise and Service Tax in Achhnera.",100,"Customs, Excise and Service Tax","Customs Check and Clearance",112,"Achhnera","Manipur",2015-11-01
81392,"I paid Rs 300 to police conistable at his home in Tirupati",300,"Passport","Police Clearance Certificate",144,"Tirupati","Manipur",2015-11-01
81391,"I Paid Rs. 100 to Municipal Services in Kolkata.",100,"Municipal Services","Birth Certificate",107,"Kolkata","Manipur",2015-11-01
81383,"I Paid Rs. 1000 to Police in Bangalore.",1000,"Police","Filing FIR",178,"Bangalore","Manipur",2015-10-31
81382,"I Paid Rs. 1122 to Municipal Services in Jhalawar.",1122,"Municipal Services","Birth Certificate",153,"Jhalawar","Manipur",2015-10-31
81377,"I Paid Rs. 600 to Municipal Services in Goalpara.",600,"Municipal Services","Birth Certificate",171,"Goalpara","Manipur",2015-10-31
81374,"I Paid Rs. 400 to Others in Chittoor.",400,"Others","Others",189,"Chittoor","Andhra Pradesh",2015-10-31
81367,"Bribe for passport verification",200,"Police","Police Clearance Certificate",183,"Mumbai","Andhra Pradesh",2015-10-31
81366,"I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Gurgaon.",1000,"Commercial Tax, Sales Tax, VAT","C Form",168,"Gurgaon","Andhra Pradesh",2015-10-31
81364,"I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Abohar.",100,"Commercial Tax, Sales Tax, VAT","C Form",155,"Abohar","Andhra Pradesh",2015-10-31
81363,"I Paid Rs. 500 to Customs, Excise and Service Tax in Abhayapuri.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",158,"Abhayapuri","Andhra Pradesh",2015-10-31
81361,"I Paid Rs. 200 to Income Tax in Bangalore.",200,"Income Tax","New PAN Card",145,"Bangalore","Andhra Pradesh",2015-10-31
81354,"I Paid Rs. 100000 to Municipal Services in Lucknow.",1e+05,"Municipal Services","Birth Certificate",129,"Lucknow","Andhra Pradesh",2015-10-31
81343,"I Paid Rs. 500 to Passport in Anantapur.",500,"Passport","Police Verification for Passport",156,"Anantapur","Andhra Pradesh",2015-10-31
81340,"I Paid Rs. 50000 to Municipal Services in Mumbai.",50000,"Municipal Services","Birth Certificate",149,"Mumbai","Andhra Pradesh",2015-10-31
81338,"I Paid Rs. 13 to Municipal Services in Ahmedabad.",13,"Municipal Services","Birth Certificate",136,"Ahmedabad","Andhra Pradesh",2015-10-31
81336,"I Paid Rs. 100 to Customs, Excise and Service Tax in Gorakhpur.",100,"Customs, Excise and Service Tax","Customs Check and Clearance",153,"Gorakhpur","Uttar Pradesh",2015-10-31
81333,"I Paid Rs. 10000 to Municipal Services in Bareilly.",10000,"Municipal Services","Birth Certificate",135,"Bareilly","Uttar Pradesh",2015-10-31
81324,"I Paid Rs. 100 to Transport in Abohar.",100,"Transport","Duplicate Registration Certificate",158,"Abohar","Uttar Pradesh",2015-10-31
81322,"I Paid Rs. 100 to Police in New Delhi.",100,"Police","Traffic Violations",134,"New","Uttar Pradesh",2015-10-31
81315,"I Paid Rs. 210 to Municipal Services in Adari.",210,"Municipal Services","Birth Certificate",113,"Adari","Uttar Pradesh",2015-10-31
81309,"I Paid Rs. 100 to Food, Civil Supplies and Consumer Affairs in Chennai.",100,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",128,"Chennai","Uttar Pradesh",2015-10-31
81305,"I Paid Rs. 40 to Municipal Services in Nagpur.",40,"Municipal Services","Birth Certificate",106,"Nagpur","Uttar Pradesh",2015-10-31
81303,"I Paid Rs. 10000 to Others in Hyderabad.",10000,"Others","Others",122,"Hyderabad","Uttar Pradesh",2015-10-31
81300,"I Paid Rs. 100 to Police in Akola.",100,"Police","Traffic Violations",104,"Akola","Uttar Pradesh",2015-10-31
81298,"I Paid Rs. 1 to Income Tax in Barabanki.",1,"Income Tax","New PAN Card",111,"Barabanki","Uttar Pradesh",2015-10-31
81289,"I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Abhayapuri.",10,"Commercial Tax, Sales Tax, VAT","C Form",111,"Abhayapuri","Assam",2015-10-31
81287,"I Paid Rs. 25 to Municipal Services in Akola.",25,"Municipal Services","Birth Certificate",87,"Akola","Assam",2015-10-31
81280,"I Paid Rs. 5000 to Stamps and Registration in Pune.",5000,"Stamps and Registration","Registration of Flat or Apartment",159,"Pune","Assam",2015-10-31
81279,"I Paid Rs. 1 to Municipal Services in Bhubaneswar.",1,"Municipal Services","Birth Certificate",101,"Bhubaneswar","Assam",2015-10-31
81259,"No way of getting out of this :(",10000,"Commercial Tax, Sales Tax, VAT","VAT Registration",162,"New","Assam",2015-10-31
81258,"I Paid Rs. 100 to Municipal Services in Abhayapuri.",100,"Municipal Services","Birth Certificate",137,"Abhayapuri","Assam",2015-10-31
81257,"I Paid Rs. 450 to Municipal Services in Abhayapuri.",450,"Municipal Services","Birth Certificate",127,"Abhayapuri","Assam",2015-10-31
81253,"I Paid Rs. 10 to Income Tax in Madurai.",10,"Income Tax","New PAN Card",137,"Madurai","Assam",2015-10-31
81249,"I Paid Rs. 15 to Others in Kozhikode.",15,"Others","Others",168,"Kozhikode","Assam",2015-10-30
81247,"I Paid Rs. 200 to Municipal Services in Gorakhpur.",200,"Municipal Services","Birth Certificate",158,"Gorakhpur","Assam",2015-10-30
81246,"I Paid Rs. 300 to Municipal Services in Achhnera.",300,"Municipal Services","Birth Certificate",172,"Achhnera","Uttar Pradesh",2015-10-30
81236,"I Paid Rs. 777 to Municipal Services in Thane.",777,"Municipal Services","Birth Certificate",149,"Thane","Uttar Pradesh",2015-10-30
81229,"I Paid Rs. 100 to Passport in Pune.",100,"Passport","Passport Delivery",186,"Pune","Uttar Pradesh",2015-10-30
81222,"I Paid Rs. 65 to Others in Amritsar.",65,"Others","Others",161,"Amritsar","Uttar Pradesh",2015-10-30
81218,"I Paid Rs. 5000 to Municipal Services in Nashik.",5000,"Municipal Services","Birth Certificate",144,"Nashik","Uttar Pradesh",2015-10-30
81216,"I Paid Rs. 1995 to Municipal Services in Mangalore.",1995,"Municipal Services","Birth Certificate",138,"Mangalore","Uttar Pradesh",2015-10-30
81215,"I Paid Rs. 200 to Municipal Services in Abhayapuri.",200,"Municipal Services","Birth Certificate",128,"Abhayapuri","Uttar Pradesh",2015-10-30
81204,"I Paid Rs. 272165 to Others in Gonda.",272165,"Others","Others",135,"Gonda","Uttar Pradesh",2015-10-30
81195,"I Paid Rs. 33 to Commercial Tax, Sales Tax, VAT in Abohar.",33,"Commercial Tax, Sales Tax, VAT","C Form",130,"Abohar","Uttar Pradesh",2015-10-30
81191,"I Paid Rs. 10 to Municipal Services in Jabalpur.",10,"Municipal Services","Birth Certificate",136,"Jabalpur","Uttar Pradesh",2015-10-30
81190,"I Paid Rs. 500 to Income Tax in Hingoli.",500,"Income Tax","New PAN Card",132,"Hingoli","Maharashtra",2015-10-30
81149,"I Paid Rs. 800 to Municipal Services in Achhnera.",800,"Municipal Services","Birth Certificate",148,"Achhnera","Maharashtra",2015-10-30
81146,"I Paid Rs. 16000 to Municipal Services in Mumbai.",16000,"Municipal Services","Birth Certificate",168,"Mumbai","Maharashtra",2015-10-29
81143,"I Paid Rs. 123 to Transport in New Delhi.",123,"Transport","New Domestic Driving License",191,"New","Maharashtra",2015-10-29
81142,"I Paid Rs. 5000 to Municipal Services in Abhayapuri.",5000,"Municipal Services","Birth Certificate",150,"Abhayapuri","Maharashtra",2015-10-29
81137,"I Paid Rs. 1000 to Municipal Services in Pimpri-Chinchwad.",1000,"Municipal Services","Birth Certificate",136,"Pimpri","Maharashtra",2015-10-29
81136,"I Paid Rs. 500 to Others in Ambattur.",500,"Others","Others",152,"Ambattur","Maharashtra",2015-10-29
81127,"I Paid Rs. 2000 to Others in Cooch Behar.",2000,"Others","Others",153,"Cooch","Maharashtra",2015-10-29
81121,"I Paid Rs. 50 to Police in Surat.",50,"Police","Traffic Violations",155,"Surat","Maharashtra",2015-10-29
81076,"I paid a bribe of Rs 5000 for Marriage  Registration",5000,"Stamps and Registration","Marriage Registration",275,"Chennai","Maharashtra",2015-10-29
81062,"I Paid Rs. 123456 to Others in Katihar.",123456,"Others","Others",152,"Katihar","Bihar",2015-10-29
81011,"I Paid Rs. 8 to Income Tax in Adilabad.",8,"Income Tax","New PAN Card",176,"Adilabad","Bihar",2015-10-29
81007,"Mr Harsh Chaturvedi, Inspector of Factory Act 1948, Moti Mahal Gwalior",5000,"Labour","Inspection of Office or Factories",189,"Gwalior","Bihar",2015-10-28
80978,"I Paid Rs. 1000 to Municipal Services in Thiruvananthapuram.",1000,"Municipal Services","Birth Certificate",196,"Thiruvananthapuram","Bihar",2015-10-28
80958,"I paid 3000/- for getting DOB certificate",3000,"Municipal Services","Non Availability Certificate",203,"Visakhapatnam","Bihar",2015-10-28
80957,"I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Cuddapah.",10,"Commercial Tax, Sales Tax, VAT","C Form",195,"Cuddapah","Bihar",2015-10-28
80954,"I Paid Rs. 10000 to Others in Guwahati.",10000,"Others","Others",188,"Guwahati","Bihar",2015-10-28
80932,"I Paid Rs. 1200 to Others in Sambalpur.",1200,"Others","Others",178,"Sambalpur","Bihar",2015-10-28
80896,"I Paid Rs. 1000 to Customs, Excise and Service Tax in Kochi.",1000,"Customs, Excise and Service Tax","Customs Check and Clearance",205,"Kochi","Bihar",2015-10-28
80875,"I Paid Rs. 5000 to Municipal Services in Amarpur.",5000,"Municipal Services","Birth Certificate",196,"Amarpur","Bihar",2015-10-28
80865,"I Paid Rs. 34 to Commercial Tax, Sales Tax, VAT in Achhnera.",34,"Commercial Tax, Sales Tax, VAT","C Form",223,"Achhnera","Uttar Pradesh",2015-10-27
80855,"I Paid Rs. 1000 to Police in Pune.",1000,"Police","Police Harassment",231,"Pune","Uttar Pradesh",2015-10-27
80851,"I Paid Rs. 5000 to Municipal Services in Achhnera.",5000,"Municipal Services","Birth Certificate",215,"Achhnera","Uttar Pradesh",2015-10-27
80844,"I Paid Rs. 1111 to Others in Goalpara.",1111,"Others","Others",207,"Goalpara","Uttar Pradesh",2015-10-27
80819,"I Paid Rs. 23 to Municipal Services in Siliguri.",23,"Municipal Services","Birth Certificate",186,"Siliguri","Uttar Pradesh",2015-10-27
80816,"I Paid Rs. 50 to Customs, Excise and Service Tax in Mumbai.",50,"Customs, Excise and Service Tax","Customs Check and Clearance",205,"Mumbai","Uttar Pradesh",2015-10-27
80798,"I Paid Rs. 200 to Commercial Tax, Sales Tax, VAT in Shahabad, Hardoi.",200,"Commercial Tax, Sales Tax, VAT","C Form",204,"Shahabad","Uttar Pradesh",2015-10-27
80785,"I Paid Rs. 100 to Municipal Services in Abohar.",100,"Municipal Services","Birth Certificate",208,"Abohar","Uttar Pradesh",2015-10-27
80773,"I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Jaipur.",10,"Commercial Tax, Sales Tax, VAT","C Form",189,"Jaipur","Uttar Pradesh",2015-10-27
80765,"Open bribe demanded by officers in shiggaon taluk, haveri district - property Registrar office",10000,"Municipal Services","Registration of Land",267,"Haveri","Uttar Pradesh",2015-10-27
80756,"I Paid Rs. 100 to Passport in Gwalior.",100,"Passport","Passport Delivery",194,"Gwalior","Madhya Pradesh",2015-10-27
80730,"I Paid Rs. 5000 to Municipal Services in Achhnera.",5000,"Municipal Services","Birth Certificate",210,"Achhnera","Madhya Pradesh",2015-10-27
80716,"I Paid Rs. 10000 to Municipal Services in Mumbai.",10000,"Municipal Services","Birth Certificate",206,"Mumbai","Madhya Pradesh",2015-10-26
80715,"Corrupt unashamed officers in Madurai DEO Office",2500,"Education","School or College Related Activities",229,"Madurai","Madhya Pradesh",2015-10-26
80713,"I Paid Rs. 400054 to Municipal Services in Mumbai.",400054,"Municipal Services","Birth Certificate",208,"Mumbai","Madhya Pradesh",2015-10-26
80706,"I Paid Rs. 46 to Stamps and Registration in New Delhi.",46,"Stamps and Registration","Marriage Certificate",239,"New","Madhya Pradesh",2015-10-26
80702,"I Paid Rs. 18 to Others in Tezpur.",18,"Others","Others",189,"Tezpur","Madhya Pradesh",2015-10-26
80700,"I Paid Rs. 10 to Municipal Services in Mumbai.",10,"Municipal Services","Birth Certificate",181,"Mumbai","Madhya Pradesh",2015-10-26
80699,"I Paid Rs. 3500 to Transport in Bhubaneswar.",3500,"Transport","Registration of Vehicle",219,"Bhubaneswar","Madhya Pradesh",2015-10-26
80694,"I Paid Rs. 123 to Police in Etawah.",123,"Police","Police Harassment",199,"Etawah","Madhya Pradesh",2015-10-26
80692,"I Paid Rs. 200000 to Municipal Services in New Delhi.",2e+05,"Municipal Services","Birth Certificate",170,"New","Delhi Delhi",2015-10-26
80686,"I Paid Rs. 100 to Police in Bangalore.",100,"Police","Police Harassment",182,"Bangalore","Delhi Delhi",2015-10-26
80669,"I Paid Rs. 625000 to Police in Madurai.",625000,"Police","Traffic Violations",215,"Madurai","Delhi Delhi",2015-10-26
80646,"I Paid Rs. 1 to Others in Indore.",1,"Others","Others",173,"Indore","Delhi Delhi",2015-10-26
80636,"I Paid Rs. 15000 to Municipal Services in Anandnagaar.",15000,"Municipal Services","Birth Certificate",165,"Anandnagaar","Delhi Delhi",2015-10-26
